id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,What's a healthy dinner option for two?
5,How do I make gluten-free pancakes?
6,Share a simple pasta recipe with tomatoes
7,What can I cook with only eggs and spinach?
8,Give me a spicy vegetarian curry recipe
9,How do I make homemade pizza dough?
10,Recommend a low-carb lunch
11,What's a quick snack for kids?
12,How do I bake banana bread?
13,Give me a recipe for creamy mushroom soup
